Player,12/11/2022,12/14/2022,12/16/2022,12/18/2022,12/20/2022,12/21/2022,12/23/2022,12/26/2022,12/28/2022,12/30/2022,12/31/2022,1/2/2022,1/4/2022,1/6/2022,1/7/2022,1/9/2022,1/11/2022,1/13/2022,1/15/2022,1/19/2022,1/23/2022
DeRozan,34,32,14,29,24,28,25,31,42,22,21,44,22,12,35,13,0,0,0,26,
Williams,8,11,10,13,6,11,7,12,8,8,9,10,22,18,7,10,6,18,10,10,
Vucevic,13,19,9,23,29,20,21,10,15,19,11,20,21,19,15,21,15,19,43,16,
LaVine,21,25,17,22,21,22,33,22,24,43,15,26,13,41,36,27,38,25,27,30,
Dosunmu,2,0,5,5,1,9,9,9,6,11,19,11,17,8,7,6,8,2,12,13,
Jones Jr.,14,2,2,13,2,0,0,0,0,0,0,6,8,8,5,4,7,7,7,12,
White,12,12,7,10,14,10,8,14,0,5,9,5,10,9,5,4,13,19,15,10,
Dragic,2,7,9,6,8,5,9,12,12,4,0,2,6,5,5,6,4,9,4,3,
Drummond,14,2,0,0,1,0,6,8,7,12,2,6,0,6,11,2,0,0,0,0,
Green,2,6,7,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,
Bradley,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Terry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
Caruso,0,4,9,5,7,5,0,0,0,8,4,4,2,0,0,6,6,11,12,2,
Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
Simonovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,122,120,91,126,113,110,118,118,119,132,102,134,121,126,126,99,97,110,132,126,0
